stop_id,name,lat,lon,routes
L06,1 Av,40.730953,-73.981628,L
119,103 St,40.799446,-73.968379,1
624,103 St,40.790600,-73.947478,4|6
A18,103 St,40.796092,-73.961454,A|B|C
706,103 St-Corona Plaza,40.749865,-73.862700,7
A63,104 St,40.681711,-73.837683,A
J14,104 St,40.695178,-73.844330,J|Z
623,110 St,40.795020,-73.944250,4|6
227,110 St-Malcolm X Plaza,40.799075,-73.951822,2|3
705,111 St,40.751730,-73.855334,7
A64,111 St,40.684331,-73.832163,A
J13,111 St,40.697418,-73.836345,J
226,116 St,40.802098,-73.949625,2|3
622,116 St,40.798629,-73.941617,4|6
A16,116 St,40.805085,-73.954882,A|B|C
117,116 St-Columbia University,40.807722,-73.964110,1
J12,121 St,40.700492,-73.828294,J|Z
116,125 St,40.815581,-73.958372,1
225,125 St,40.807754,-73.945495,2|3
621,125 St,40.804138,-73.937594,4|5|6
A15,125 St,40.811109,-73.952343,A|B|C|D
224,135 St,40.814229,-73.940770,2|3
A14,135 St,40.817894,-73.947649,A|B|C
115,137 St-City College,40.822008,-73.953676,1
416,138 St-Grand Concourse,40.813224,-73.929849,4|5
132,14 St,40.737826,-74.000201,1|2|3
A31,14 St,40.740893,-74.001690,A|C|E
D19,14 St,40.738228,-73.996209,F|M
635,14 St-Union Sq,40.734673,-73.989951,4|5|6
L03,14 St-Union Sq,40.734789,-73.990730,L
R20,14 St-Union Sq,40.735736,-73.990568,N|Q|R|W
114,145 St,40.826551,-73.950360,1
302,145 St,40.820421,-73.936245,3
A12,145 St,40.824783,-73.944216,A|C
D13,145 St,40.824783,-73.944216,B|D
222,149 St-Hostos,40.818410,-73.926718,2|5
415,149 St-Hostos,40.818375,-73.927351,4
F25,15 St-Prospect Park,40.660365,-73.979493,F|G
A11,155 St,40.830518,-73.941514,A|C
D12,155 St,40.830135,-73.938209,B|D
113,157 St,40.834041,-73.944890,1
414,161 St-Yankee Stadium,40.827994,-73.925831,4
D11,161 St-Yankee Stadium,40.827905,-73.925651,B|D
A10,163 St-Amsterdam Av,40.836013,-73.939892,A|C
413,167 St,40.835537,-73.921400,4
D10,167 St,40.833771,-73.918440,B|D
A09,168 St,40.840719,-73.939561,A|C
112,168 St-Washington Hts,40.840556,-73.940133,1
F02,169 St,40.710470,-73.793604,E|F
412,170 St,40.840075,-73.917791,4
D09,170 St,40.839306,-73.913400,B|D
215,174 St,40.837288,-73.887734,2|5
D08,174-175 Sts,40.845900,-73.910136,B|D
A07,175 St,40.847391,-73.939704,A
410,176 St,40.848480,-73.911794,4
B19,18 Av,40.607954,-74.001736,D
F30,18 Av,40.629755,-73.976971,F
N05,18 Av,40.620671,-73.990414,N|W
131,18 St,40.741040,-73.997871,1|2
111,181 St,40.849505,-73.933596,1
A06,181 St,40.851695,-73.937969,A
D06,182-183 Sts,40.856093,-73.900741,B|D
408,183 St,40.858407,-73.903879,4
A05,190 St,40.859022,-73.934180,A
110,191 St,40.855225,-73.929412,1
F14,2 Av,40.723402,-73.989938,F
B20,20 Av,40.604556,-73.998168,D
N06,20 Av,40.617410,-73.985026,N|W
108,207 St,40.864621,-73.918822,1
G24,21 St,40.744065,-73.949724,G
B04,21 St-Queensbridge,40.754203,-73.942836,F|M
107,215 St,40.869444,-73.915279,1
207,219 St,40.883895,-73.862633,2|5
206,225 St,40.888022,-73.860341,2|5
130,23 St,40.744081,-73.995657,1|2
A30,23 St,40.745906,-73.998041,A|C|E
D18,23 St,40.742878,-73.992821,F|M
R19,23 St,40.741303,-73.989344,N|Q|R|W
634,23 St-Baruch College,40.739864,-73.986599,4|6
104,231 St,40.878856,-73.904834,1
205,233 St,40.893193,-73.857473,2|5
103,238 St,40.884667,-73.900870,1
B22,25 Av,40.597704,-73.986829,D
R35,25 St,40.660397,-73.998091,D|N|R|W
129,28 St,40.747215,-73.993365,1|2
633,28 St,40.743070,-73.984264,4|6
R18,28 St,40.745494,-73.988691,N|Q|R|W
